id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
3040444,Private Suite. 10 min walk to Town,12874214,David,28801,35.60329,-82.55617,Entire home/apt,88,2,467,2/3/2021,5.71,3,358
3066648,Cozy Downtown Cottage - Close to Mission Hospital,8035294,Alicia,28801,35.59215,-82.5664,Entire home/apt,55,90,180,5/15/2020,2.2,2,137
3084395,Modern Tree Top Bungalow,15694798,Josh,28804,35.6241,-82.53003,Entire home/apt,136,1,294,1/18/2021,3.59,3,353
3095136,Spivey Mountain Cabin w/Hot Tub!!,15694798,Josh,28806,35.59519,-82.63967,Entire home/apt,154,1,347,2/6/2021,4.22,3,318
3116699,Asheville Modern Round House,15694798,Josh,28804,35.62352,-82.52959,Entire home/apt,189,1,292,2/15/2021,3.68,3,297
3220474,Guest Room: Mountainside Private Room & Pvt. Bath,16296123,Allison & Peter,28803,35.49069,-82.51348,Private room,39,1,649,1/17/2021,8,3,48
3225871,Little forest 5 mins from airport,16293519,Ellen,28732,35.4394,-82.50569,Entire home/apt,33,1,90,9/16/2019,1.56,1,80
3244166,"Princess Anne, Free Breakfast & Happy Hour",16412724,Anne,28801,35.6018,-82.54328,Hotel room,199,1,22,10/25/2020,0.54,2,89
3268055,Cedar Springs Farm Apartment- Close to town!,167473,Kelly,28806,35.58751,-82.63689,Entire home/apt,79,2,143,11/8/2020,1.76,3,307
3314819,Basement: Mountainside Private Room & Private Bath,16296123,Allison & Peter,28803,35.49099,-82.51287,Private room,38,1,841,2/12/2021,10.37,3,81
3369973,Nana's Place is minutes from everything!,12087030,Marie,28803,35.58215,-82.5475,Entire home/apt,120,2,170,1/25/2021,3.02,1,253
3405282,The Cabin In Grove Park,17173574,Scott & Catherine,28801,35.61206,-82.5441,Entire home/apt,75,29,12,1/10/2021,0.18,1,155
3454237,Asheville Mtn. Retreat,6619953,Becky,28805,35.59006,-82.50414,Entire home/apt,90,30,75,3/31/2018,0.93,1,293
3522134,West Asheville 3 BR/2BA with great outdoor space,17736312,Melissa & Ron,28806,35.58501,-82.60828,Entire home/apt,65,30,94,9/18/2018,1.17,1,152
3522532,Quiet Luxurious Studio-Guest House,4846203,Zak & Iz,28806,35.58012,-82.60711,Entire home/apt,28,30,174,4/2/2020,2.21,1,82
3529241,"Walk to Downtown, Mid-Century Modern",17767321,JC & Jackson,28801,35.60233,-82.56226,Entire home/apt,121,3,264,12/21/2020,3.33,1,0
3563156,"Sweet Room & Porch, Private Entrance And Bath",653292,Joann,28806,35.57729,-82.60579,Private room,55,2,127,2/15/2021,1.59,1,365
3569949,"Dog Friendly, 5 Minutes to Downtown, Walk to Yoga",17974144,Peggy,28804,35.63273,-82.5769,Entire home/apt,90,1,140,1/3/2021,3.34,1,307
3590634,Cozy Cabin by Mountain Stream,18089084,Patricia,28803,35.54661,-82.4924,Entire home/apt,115,2,206,2/7/2021,2.58,2,346
3649639,Cheerful Home In Historic Downtown Asheville,18450336,Michele,28801,35.60815,-82.56361,Entire home/apt,93,1,424,1/31/2021,5.3,1,278
3654375,Sassy Purple Cottage!,11336944,Sharon,28801,35.60961,-82.56742,Entire home/apt,131,120,50,7/4/2016,0.63,2,365
3741771,Urban Oasis- walk to Haywood road,2392127,David And Melissa,28806,35.57965,-82.58172,Entire home/apt,118,1,312,1/31/2021,3.96,4,348
3767793,WEST AVL - Mountain View’s - HOT TUB,9385592,Kelsey,28806,35.63595,-82.6494,Entire home/apt,556,2,71,1/19/2020,0.89,4,0
3868452,Peaceful Log Home with Long Range Views,19697970,Daniel,28806,35.61309,-82.59688,Entire home/apt,216,3,153,2/15/2021,2.04,1,289
3868910,The Henhouse,19977236,Louisa,28801,35.59157,-82.56673,Entire home/apt,120,2,263,2/15/2021,3.32,1,269
3888845,THE MASTER ~ 50 SHADES OF 5* ~ HOT-TUB ~ 2M DWTN,1994122,Marc & Fay,28805,35.61288,-82.52512,Private room,179,1,502,2/16/2021,6.4,8,158
3889212,Garage apartment close to downtown,1482216,Marilyn,28806,35.5989,-82.59319,Entire home/apt,100,2,71,10/6/2020,0.9,2,244
3945733,"Romantic Vintage Studio— Clean, Near Downtown!",20447538,Danielle + April,28801,35.61053,-82.55582,Entire home/apt,74,1,378,1/13/2021,4.87,2,362
3968877,Fabulous Studio 7 min to downtown!,11584674,Callie,28804,35.62881,-82.57323,Entire home/apt,110,2,159,2/16/2021,2.03,1,359
3984596,Historic West Asheville 1930's Charmer,8260778,Ryan,28806,35.57489,-82.57172,Entire home/apt,296,2,151,2/6/2021,1.94,1,344
3990524,Private suite in walkable W. Asheville,1676385,Pamella,28806,35.58006,-82.58663,Private room,50,1,148,2/15/2021,1.88,1,253
4045013,Bittersweet Cottage - It's All About The View!,20973612,Matthew,28804,35.65451,-82.54203,Entire home/apt,250,2,181,2/15/2021,2.42,2,256
4108784,Everything Zen Asheville,3221035,Mark,28804,35.62284,-82.60681,Entire home/apt,53,2,339,2/15/2021,4.36,1,199
4124504,Forest Hill Bungalow,11006041,Shari,28803,35.57347,-82.53753,Entire home/apt,99,2,300,3/8/2020,3.9,1,49
